t,tRel,x,y,z,alpha,beta,gamma
1402055798693,0.0,0.325099514760319,-0.5646417103338678,-0.7313786033708336,67.11347343705319,35.188288420051606,22.620070211202645
1402055798753,0.06,0.2876214755107492,-0.5965826736378438,-0.8263016233976765,67.48992320975043,34.77588469715875,22.129161842143855
1402055798808,0.115,0.2956753723354579,-0.6206071154228492,-0.8155173285976127,67.52446618762086,34.774321644499864,21.67351143878348
1402055798860,0.167,0.2858062866512614,-0.628706735742471,-0.7663550096838335,67.22996460374446,35.00133961397002,21.693175805509494
1402055798912,0.219,0.3080002399136893,-0.5912439565882979,-0.7936589061124791,66.5405600816407,35.04938972992537,22.244187231963334
1402055798966,0.273,0.2725356771978079,-0.5749836579947567,-0.7790460245891223,65.50628936663983,35.195549834979175,22.72229879868191
1402055799091,0.398,0.4711677970097729,-0.5100949215489866,-0.7154538563858132,63.21644820876161,35.32883881621995,24.13606434589618
1402055799143,0.45,0.9903538289201369,-0.023200692693027877,-0.5033833247243172,58.96136994288589,35.32962227036765,31.54106039996088
1402055799277,0.584,0.34633250236130536,0.021141459613765047,-0.2905654142731677,76.51401777637881,37.609379048032054,24.38573760084813
1402055799330,0.637,-0.0006406502913262137,0.17973291387373275,-0.3325280083550347,88.6724454116494,35.687792563295716,18.9206382987365
1402055799381,0.688,-0.28281661135986613,-0.030339367367805688,-0.6612273834365496,100.90230479466156,30.35273941662454,13.48651176693676
1402055799432,0.739,-0.45364139078027366,0.03959828943530597,-0.7172232249259158,110.0888134534087,23.408336457208346,10.51153920866235
1402055799489,0.796,-0.5602639035509934,0.1370839087654448,-1.0485004696471731,117.00531084537731,14.227010120569016,8.842395085294218
1402055799539,0.846,-0.8216187227033951,0.5073645310216677,-1.0782906932977694,126.008578803208,-2.3861114392260374,5.2920627237947855
1402055799592,0.899,-0.758758733709638,0.6134074152625572,-1.4981454526879856,126.26137443117221,-12.780839602576798,3.805922897394282
1402055799651,0.958,-0.8086074613223267,0.6897515600828584,-1.7592256999817824,122.6564781341004,-22.145747719160155,3.1688325421206973
1402055799715,1.022,-0.4951616725192602,0.8268354688483032,-1.7458635653341217,113.5484810847254,-28.886363618253647,0.43575022271824443
1402055799778,1.085,-0.25539065883966744,0.8882464051375755,-1.972653768463601,100.20384295108535,-33.31595437006051,-3.3552900120739313
1402055799832,1.139,-0.08374214149933691,0.8279032491259921,-1.898917970647627,86.73935810485865,-32.35960911669017,-6.712118870783479
1402055799886,1.193,0.41109919051268534,0.8264083686540857,-1.5588546945803268,64.7923178878364,-19.571020048273635,-8.32117569540411
1402055799939,1.246,0.5629180559786331,0.7946351798160511,-1.215176320440543,58.45237927339246,-9.629511449222383,-6.846613501377837
1402055799992,1.299,0.4442299589972513,0.5318312781670194,-0.5500135286819193,54.09307862303842,7.4115062905499025,-2.175572931373335
1402055800044,1.351,0.5857831704131352,0.4493094341089297,-0.4804724947084405,53.51631638186857,12.930006427097684,0.3747000204787279
1402055800092,1.399,0.7641584930027797,0.4425062785738894,-0.5424325300267043,54.35831888521475,15.980215625552521,3.587222543379592
1402055800143,1.45,0.7176198254114398,0.3970201376818735,-0.5202232901352504,58.776280534807846,17.70443282398775,6.3538093946091125
1402055800195,1.502,0.6048501429037703,0.23121374085530347,-0.471350795261934,66.42977709645363,17.98894132386292,8.5369864053198
1402055800246,1.553,0.040574518450660194,0.0996058667228613,-0.6823077840486371,77.28093601697633,17.148057383561802,9.386029791874794
1402055800299,1.606,-0.7314701118069594,0.01002160098574577,-1.1998312057093712,88.45415283647631,14.509390981597775,10.514645272017564
1402055800352,1.659,-0.8067159542967692,-0.20747918013478892,-1.367651089776182,95.65017658861329,12.081278860570565,12.293685296648663
1402055800404,1.711,-0.6050636930008789,-0.25125694655081315,-1.2591676106527978,99.47298625537275,10.925823647483238,12.030203676568641
1402055800458,1.765,-0.33300089907649216,-0.20236921671922264,-1.1528196920847915,101.93159598887148,10.477937243528059,10.604470524722721
1402055800508,1.815,-0.21736349169996533,-0.21213151432080127,-1.1767678101177002,103.46850851980813,9.745708644190879,10.548183285592081
1402055800565,1.872,-0.05457730338964743,-0.20601482567245427,-1.0249642280222626,103.53156017204506,10.025284865930013,9.663065158406678
1402055800619,1.926,0.02109569887867032,-0.170443478365222,-0.967214173815682,103.12308852063391,10.000373204452062,9.475200705809298
1402055800672,1.979,0.14027190850572002,-0.13842622738557503,-1.0146069999002527,102.28020801239052,9.784784108494803,9.416600019257892
1402055800724,2.031,0.16566910984988759,-0.13996683507641278,-0.9967298246766692,101.56697419048074,9.646856034836853,9.591472344354328
1402055800777,2.084,0.22235141182529083,-0.13662629769047935,-0.9904453280462172,100.70719349586571,9.728833311300605,9.619518122003862
1402055800827,2.134,0.2049928359220053,-0.17315862212214664,-0.9434032998168717,100.331114050706,10.010245733312058,9.63530896752655
1402055800879,2.186,0.14172100031239554,-0.19457464748479908,-0.9704936598807254,100.1676253652424,10.039180448182448,10.101057295179043
1402055800930,2.237,0.10753772747261442,-0.1956728976790363,-0.9835202099855801,100.06483588548053,10.199528591040137,10.053487132743497
1402055800980,2.287,0.16025409337073832,-0.1865207525220995,-0.9841303931533717,99.72432261393264,10.187927863640905,10.187792092749516
