t,tRel,x,y,z,alpha,beta,gamma
1396974277453,0,0.17419,0.015069,-0.96455,116.0152,-1.2567,9.3487
1396974277505,0.052,0.17419,0.015069,-0.96455,116.0152,-1.2567,9.3487
1396974277631,0.178,0.15595,0.018301,-0.97336,116.1484,-0.87371,9.2859
1396974277679,0.226,0.15297,0.024032,-0.96368,116.1311,-0.89943,9.1894
1396974277727,0.274,0.15688,0.019228,-0.9685,116.0703,-0.83515,9.1343
1396974277773,0.32,0.16542,0.026531,-0.96359,116.0755,-1.0296,9.1487
1396974277821,0.368,0.14899,0.034477,-0.95401,115.9332,-1.1239,9.2384
1396974277872,0.419,0.14899,0.034477,-0.95401,115.9332,-1.1239,9.2384
1396974277925,0.472,0.17157,-0.0092027,-0.96272,115.9185,-1.1475,9.1526
1396974277973,0.52,0.49508,-0.59596,-1.2925,117.6252,1.1547,10.5687
1396974278019,0.566,0.49508,-0.59596,-1.2925,117.6252,1.1547,10.5687
1396974278086,0.633,0.92228,-0.67829,-1.3298,121.7896,15.5012,17.4446
1396974278124,0.671,0.93467,-0.57489,-1.3699,126.5827,26.6162,20.9561
1396974278171,0.718,0.93467,-0.57489,-1.3699,126.5827,26.6162,20.9561
1396974278355,0.902,0.8408,-0.49078,-1.1382,137.2073,50.3133,24.7172
1396974278409,0.956,0.06611,-0.11583,-0.36173,169.1708,79.6964,17.4995
1396974278464,1.011,-0.12656,-0.19601,-0.16222,193.4497,85.0755,0.46585
1396974278526,1.073,-0.31464,-0.65793,-0.6214,304.2026,89.5229,-99.9165
1396974278572,1.119,-0.091773,-0.99733,-0.12261,279.8085,87.2199,-75.6839
1396974278621,1.168,-0.091773,-0.99733,-0.12261,279.8085,87.2199,-75.6839
1396974278665,1.212,-0.18681,-1.0437,0.036048,291.1843,87.4924,-87.3756
1396974278715,1.262,0.041016,-0.91972,0.35304,329.2329,87.822,-126.077
1396974278766,1.313,0.24117,-0.81131,0.40496,300.3104,87.0653,-96.7523
1396974278808,1.355,-0.28343,-0.71609,-0.29571,331.0118,87.3427,-124.6872
1396974278856,1.403,0.12049,-0.83763,0.13639,309.6733,85.1609,-104.3263
1396974278903,1.45,-0.23689,-0.83863,-0.030137,299.4175,83.7079,-93.5205
1396974278951,1.498,-0.17756,-0.8408,0.029164,304.8778,83.7984,-99.1783
1396974278996,1.543,-0.1161,-0.9276,0.024391,304.3542,83.9041,-99.0402
1396974279047,1.594,-0.12278,-0.99612,-0.040642,298.8315,83.9142,-94.0388
1396974279106,1.653,-0.14549,-0.95594,0.011537,300.9287,84.0928,-96.87
1396974279153,1.7,-0.13303,-0.95717,0.018375,301.1375,84.7254,-97.6893
1396974279199,1.746,-0.038876,-0.9735,0.044981,301.8823,85.2418,-99.1908
1396974279245,1.792,-0.103,-0.98689,0.034866,300.1015,85.206,-98.119
1396974279290,1.837,-0.066394,-0.9963,0.027324,302.5757,85.406,-101.0136
1396974279337,1.884,-0.050967,-0.99955,0.017762,305.4239,85.5899,-104.2318
1396974279385,1.932,-0.044532,-0.98272,0.046822,309.0724,85.619,-108.194
1396974279433,1.98,-0.097848,-0.93917,0.057296,311.5724,85.5953,-110.6618
1396974279478,2.025,-0.071452,-0.97643,0.040896,310.3104,85.4979,-109.5353
1396974279524,2.071,-0.10503,-0.96825,0.004968,307.9618,85.3291,-107.3097
1396974279573,2.12,-0.10503,-0.96825,0.004968,307.9618,85.3291,-107.3097
1396974279618,2.165,-0.075148,-0.97936,0.00029928,306.3639,85.4412,-105.9409
