t,tRel,x,y,z,alpha,beta,gamma
1396975117239,0,0.02285,-0.28044,-0.92317,12.3662,15.8647,2.0633
1396975117289,0.05,0.05559,-0.28235,-0.94906,12.2699,16.0908,2.2061
1396975117429,0.19,0.050592,-0.26718,-0.93745,12.378,16.5423,2.7752
1396975117478,0.239,0.021892,-0.27765,-0.9338,12.6544,16.5823,2.7529
1396975117529,0.29,0.03922,-0.27542,-0.95591,12.7514,16.5514,2.6936
1396975117575,0.336,0.03922,-0.27542,-0.95591,12.7514,16.5514,2.6936
1396975117621,0.382,0.045984,-0.27655,-0.9607,12.9057,16.5311,2.6656
1396975117667,0.428,0.033399,-0.27515,-0.93468,13.0224,16.5247,2.6055
1396975117728,0.489,0.033399,-0.27515,-0.93468,13.0224,16.5247,2.6055
1396975117772,0.533,0.028356,-0.26641,-0.89796,13.1207,16.5156,2.4887
1396975117822,0.583,0.04344,-0.24243,-0.891,13.0936,16.3979,2.466
1396975117866,0.627,0.065377,-0.23632,-0.8715,13.0507,16.0728,2.5475
1396975117915,0.676,0.042512,-0.19779,-0.77197,13.1013,15.6307,2.7047
1396975117959,0.72,0.041809,-0.071467,-0.41292,13.1037,15.1989,3.2391
1396975118006,0.767,0.019558,0.084994,-0.31967,13.1512,13.7146,4.5115
1396975118051,0.812,-0.10861,0.20972,-0.56936,13.5428,10.0224,4.7419
1396975118262,1.023,-0.15172,-0.32124,-1.9315,9.288,-2.9599,7.6256
1396975118308,1.069,-0.4729,-0.23899,-1.7408,6.6684,-1.6896,8.5624
1396975118370,1.131,-0.75634,-0.15125,-1.9424,3.9574,0.47979,7.4892
1396975118412,1.173,-0.81255,-0.016834,-1.9422,0.17334,3.9625,4.3387
1396975118460,1.221,-0.36512,0.050293,-1.9391,355.1634,9.3679,-0.84875
1396975118506,1.267,-0.19043,0.30519,-1.937,349.9717,16.6836,-6.8874
1396975118557,1.318,0.1796,0.59815,-1.9335,343.4532,27.9933,-10.7359
1396975118605,1.366,0.54981,0.73515,-1.4648,336.2756,42.05,-11.0393
1396975118654,1.415,0.6516,0.861,-0.4905,329.2997,56.0598,-10.5436
1396975118703,1.464,1.0406,0.51668,0.81918,318.0542,67.2317,-2.6219
1396975118757,1.518,1.0406,0.51668,0.81918,318.0542,67.2317,-2.6219
1396975118806,1.567,0.70171,-0.27418,0.64385,312.0713,72.1542,-1.7455
1396975118849,1.61,0.2655,-0.50702,0.14923,318.2723,70.4346,-8.3004
1396975118900,1.661,0.2655,-0.50702,0.14923,318.2723,70.4346,-8.3004
1396975118947,1.708,-0.11129,-0.85222,-0.23041,322.7629,69.0555,-12.7785
1396975118994,1.755,-0.24877,-0.90502,-0.26338,325.9086,67.7775,-16.295
1396975119040,1.801,-0.18453,-0.95862,-0.35015,326.4167,66.7296,-16.4698
1396975119088,1.849,-0.19525,-0.90745,-0.47083,327.7564,65.3006,-18.503
1396975119167,1.928,-0.1675,-0.8979,-0.47835,328.2632,64.5039,-18.9884
1396975119215,1.976,-0.10617,-0.83255,-0.38976,328.962,63.5972,-19.6238
1396975119266,2.027,-0.13346,-0.86854,-0.42585,328.8781,63.0076,-19.0474
1396975119316,2.077,-0.12203,-0.86963,-0.39581,329.5666,62.6136,-19.506
1396975119361,2.122,-0.15661,-0.8632,-0.41146,330.4742,62.0667,-20.1713
1396975119407,2.168,-0.0052672,-0.82971,-0.42488,330.9439,61.5195,-20.0677
1396975119452,2.213,0.044008,-0.7942,-0.37415,331.902,60.7827,-20.3663
