t,tRel,x,y,z,alpha,beta,gamma
1396970792273,0,-0.10829,-0.11637,-0.99683,348.5152,8.3086,-0.66276
1396970792318,0.045,-0.11272,-0.095155,-0.89141,349.4715,8.5089,-3.1817
1396970792446,0.173,-0.03919,-0.12362,-0.96548,349.0613,7.9551,-2.9632
1396970792493,0.22,-0.047914,-0.11778,-0.96551,349.078,7.759,-2.9547
1396970792542,0.269,-0.05354,-0.12427,-0.98393,348.8849,7.618,-2.8363
1396970792587,0.314,-0.0287,-0.11185,-0.99243,348.4935,7.5578,-2.848
1396970792636,0.363,-0.0047734,-0.10315,-0.99997,348.2377,7.521,-2.8472
1396970792677,0.404,-0.021877,-0.11952,-0.99243,347.6816,7.6909,-2.3448
1396970792726,0.453,-0.014216,-0.11967,-0.98463,347.1874,7.9841,-1.9897
1396970792772,0.499,-0.27702,-0.13906,-0.97091,347.2903,7.7333,-1.853
1396970792818,0.545,-0.27702,-0.13906,-0.97091,347.2903,7.7333,-1.853
1396970792873,0.6,-0.27702,-0.13906,-0.97091,347.2903,7.7333,-1.853
1396970792930,0.657,-0.4905,-0.10638,-0.96248,348.1915,7.168,-2.9235
1396970793005,0.732,-0.39726,-0.020036,-1.006,343.9133,5.9437,-3.5995
1396970793168,0.895,-0.21641,0.30776,-0.80738,320.8082,12.8478,-5.4897
1396970793228,0.955,-0.27331,0.28153,-0.91125,315.3304,12.9887,-9.0551
1396970793274,1.001,-0.19858,0.25908,-1.0858,308.1467,12.0911,-10.8509
1396970793330,1.057,0.010759,0.13939,-1.2889,300.0996,10.9546,-11.6453
1396970793375,1.102,-0.017478,0.063761,-1.1995,293.7968,12.0174,-12.5316
1396970793424,1.151,0.067696,0.056443,-1.1033,287.5682,13.5572,-12.9527
1396970793476,1.203,0.29631,-0.032067,-1.1534,281.0564,14.7729,-13.2278
1396970793529,1.256,0.36507,-0.11024,-1.0779,275.9944,15.7304,-14.3983
1396970793588,1.315,0.20936,-0.18934,-1.0328,272.174,15.9335,-16.1896
1396970793673,1.4,-0.0055216,-0.23098,-0.9164,269.4265,15.6,-18.1349
1396970793717,1.444,-0.16752,-0.22902,-0.98218,267.2773,15.1032,-23.1784
1396970793761,1.488,-0.047241,-0.11919,-0.86886,262.7547,15.8021,-24.0319
1396970793809,1.536,0.043799,-0.18721,-0.89851,258.5758,15.8436,-22.8078
1396970793854,1.581,-0.20168,-0.25821,-1.0057,257.493,14.5679,-23.8854
1396970793902,1.629,-0.46959,-0.28531,-0.87508,258.4206,13.6121,-25.5538
1396970793973,1.7,-0.71572,-0.19465,-0.48779,257.4945,12.5566,-21.541
1396970794023,1.75,0.68977,-0.14422,-1.3359,242.4774,0.46592,37.4594
1396970794068,1.795,1.1576,0.18364,-0.57593,238.5507,-9.0301,77.5759
1396970794117,1.844,1.1576,0.18364,-0.57593,238.5507,-9.0301,77.5759
1396970794177,1.904,0.41771,0.27456,0.50019,235.9018,-10.8601,109.7072
1396970794227,1.954,0.62674,0.31192,0.43788,235.4781,-13.5549,113.2037
1396970794271,1.998,0.83802,0.36401,0.5148,235.449,-15.9895,113.8797
1396970794346,2.073,0.90109,0.3591,0.60699,235.5466,-17.0826,113.7591
1396970794399,2.126,0.87961,0.33024,0.53038,235.9992,-16.9135,113.7966
1396970794446,2.173,0.82658,0.30198,0.413,236.9253,-16.5963,114.2447
1396970794490,2.217,0.84717,0.27871,0.36182,237.0685,-16.3408,113.7696
1396970794537,2.264,0.82865,0.28973,0.40814,236.8032,-16.3857,113.0107
