t,tRel,x,y,z,alpha,beta,gamma
1396994533481,0,-0.063701,-0.15591,-0.99475,287.0109,8.702,-3.8322
1396994533561,0.08,-0.063701,-0.15591,-0.99475,287.0109,8.702,-3.8322
1396994533677,0.196,-0.074445,-0.14522,-0.97257,287.4128,8.5372,-4.426
1396994533726,0.245,-0.050383,-0.15054,-0.97437,287.1831,8.5646,-4.2008
1396994533770,0.289,-0.063761,-0.15214,-0.99086,287.1731,8.6112,-4.3525
1396994533819,0.338,-0.055097,-0.15698,-0.97636,287.1372,8.7132,-4.1325
1396994533864,0.383,-0.071467,-0.15374,-0.9745,287.2691,8.8104,-4.3481
1396994533911,0.43,-0.082989,-0.15528,-0.9678,287.4313,8.9855,-4.8149
1396994533959,0.478,-0.08872,-0.16071,-0.95918,287.6957,9.2608,-5.5171
1396994534007,0.526,-0.082705,-0.1769,-0.98336,288.4161,9.7641,-7.021
1396994534051,0.57,-0.17609,-0.22339,-1.0228,289.67,11.1923,-9.0642
1396994534103,0.622,-0.10771,-0.2333,-0.78079,291.5739,13.0407,-10.373
1396994534152,0.671,-0.025783,-0.15296,-0.58281,292.0063,13.4022,-0.40097
1396994534198,0.717,1.1933,-0.010534,-0.83739,284.1869,11.3094,47.7495
1396994534371,0.89,1.6907,-0.061726,-0.4672,282.1959,9.7784,94.9368
1396994534415,0.934,0.29803,-0.62839,0.012704,287.5465,22.0086,117.089
1396994534466,0.985,0.28903,-0.28766,-0.43152,286.958,16.9791,95.3071
1396994534529,1.048,1.6346,0.013707,-1.396,289.2801,8.7761,39.1312
1396994534580,1.099,0.75197,-0.10083,-1.7016,290.1099,5.2081,-6.4743
1396994534627,1.146,0.22308,-0.35455,-0.85259,287.8409,11.5645,-16.7529
1396994534686,1.205,-0.21269,-0.26422,-0.57281,290.1133,13.1539,-22.613
1396994534727,1.246,-0.60255,-0.14995,-0.89088,291.6436,12.3437,-23.0102
1396994534772,1.291,-0.29733,-0.20238,-0.44459,288.5013,12.9569,-12.5885
1396994534820,1.339,0.6217,-0.17949,-0.11779,278.6756,9.5102,27.5855
1396994534867,1.386,1.9655,-0.11319,-0.92084,272.5198,0.64759,91.6814
1396994534918,1.437,0.42657,0.11603,0.68131,276.3716,9.027,108.0975
1396994534970,1.489,0.63964,-0.2721,-0.0088585,282.5214,14.6436,114.1495
1396994535018,1.537,0.62031,-0.35385,0.02258,285.4789,17.2312,112.038
1396994535066,1.585,0.36555,-0.41453,-0.50305,285.831,17.3481,96.4093
1396994535142,1.661,0.65457,-0.17835,-1.0347,288.7237,13.0106,1.9701
1396994535187,1.706,0.21699,-0.31846,-0.59349,285.3952,14.966,-1.4331
1396994535232,1.751,0.21699,-0.31846,-0.59349,285.3952,14.966,-1.4331
1396994535287,1.806,0.058703,-0.21967,-0.943,283.6571,10.8069,0.64238
1396994535333,1.852,0.058703,-0.21967,-0.943,283.6571,10.8069,0.64238
1396994535380,1.899,0.058703,-0.21967,-0.943,283.6571,10.8069,0.64238
1396994535425,1.944,-0.035883,-0.15936,-0.9801,284.0265,9.5023,0.47763
1396994535473,1.992,0.02279,-0.17119,-0.9846,283.9214,9.1833,0.43269
1396994535518,2.037,0.02279,-0.17119,-0.9846,283.9214,9.1833,0.43269
1396994535566,2.085,-0.00022446,-0.16875,-0.9886,284.2427,8.5972,-0.42433
1396994535611,2.13,0.0015862,-0.15482,-1.003,284.3923,8.3087,-0.93113
1396994535659,2.178,-0.001227,-0.16864,-0.97314,284.5132,8.3518,-1.0578
